,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
235,03-Jun-17,10:09:15,1,1,0,RedAmber,G
236,03-Jun-17,10:09:15,1,1,0,RedAmber,G
237,03-Jun-17,10:09:15,1,1,0,RedAmber,G
238,03-Jun-17,10:09:16,1,1,0,RedAmber,G
239,03-Jun-17,10:09:16,1,1,0,RedAmber,G
240,03-Jun-17,10:09:16,1,1,0,RedAmber,G
241,03-Jun-17,10:09:16,1,1,0,RedAmber,G
242,03-Jun-17,10:09:17,1,1,0,RedAmber,G
243,03-Jun-17,10:09:17,1,1,0,RedAmber,G
244,03-Jun-17,10:09:17,1,1,0,RedAmber,G
245,03-Jun-17,10:09:17,1,1,0,RedAmber,G
246,03-Jun-17,10:09:17,1,1,0,RedAmber,G
247,03-Jun-17,10:09:17,1,1,0,RedAmber,G
248,03-Jun-17,10:09:17,1,1,0,RedAmber,G
249,03-Jun-17,10:09:18,1,1,0,RedAmber,G
250,03-Jun-17,10:09:18,1,1,0,RedAmber,G
251,03-Jun-17,10:09:18,1,1,0,RedAmber,G
252,03-Jun-17,10:09:18,1,1,0,RedAmber,G
253,03-Jun-17,10:09:19,1,1,0,RedAmber,G
254,03-Jun-17,10:09:19,1,1,0,RedAmber,G
255,03-Jun-17,10:09:19,1,1,0,RedAmber,G
256,03-Jun-17,10:09:19,1,1,0,RedAmber,G
257,03-Jun-17,10:09:19,1,1,0,RedAmber,G
258,03-Jun-17,10:09:20,1,1,0,RedAmber,G
259,03-Jun-17,10:09:20,1,1,0,RedAmber,G
260,03-Jun-17,10:09:20,1,1,0,RedAmber,G
261,03-Jun-17,10:09:20,1,1,0,RedAmber,G
262,03-Jun-17,10:09:21,1,1,0,RedAmber,G
263,03-Jun-17,10:09:21,1,1,0,RedAmber,G
264,03-Jun-17,10:09:21,1,1,0,RedAmber,G
265,03-Jun-17,10:09:21,1,1,0,RedAmber,G
266,03-Jun-17,10:09:21,1,1,0,RedAmber,G
267,03-Jun-17,10:09:21,1,1,0,RedAmber,G
268,03-Jun-17,10:09:21,1,1,0,RedAmber,G
269,03-Jun-17,10:09:22,1,1,0,RedAmber,G
270,03-Jun-17,10:09:22,1,1,0,RedAmber,G
271,03-Jun-17,10:09:22,1,1,0,RedAmber,G
272,03-Jun-17,10:09:22,1,1,0,RedAmber,G
273,03-Jun-17,10:09:22,1,1,0,RedAmber,G
274,03-Jun-17,10:09:23,1,1,0,RedAmber,G
275,03-Jun-17,10:09:23,1,1,0,RedAmber,G
276,03-Jun-17,10:09:23,1,1,0,RedAmber,G
277,03-Jun-17,10:09:23,1,1,0,RedAmber,G
278,03-Jun-17,10:09:24,1,1,0,RedAmber,G
279,03-Jun-17,10:09:24,1,1,0,RedAmber,G
280,03-Jun-17,10:09:24,1,1,0,RedAmber,G
281,03-Jun-17,10:09:24,1,1,0,RedAmber,G
