,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
315,03-Jun-17,10:09:31,1,1,0,RedAmber,H
316,03-Jun-17,10:09:31,1,1,0,RedAmber,H
317,03-Jun-17,10:09:31,1,1,0,RedAmber,H
318,03-Jun-17,10:09:31,1,1,0,RedAmber,H
319,03-Jun-17,10:09:32,1,1,0,RedAmber,H
320,03-Jun-17,10:09:32,1,1,0,RedAmber,H
321,03-Jun-17,10:09:32,1,1,0,RedAmber,H
322,03-Jun-17,10:09:32,1,1,0,RedAmber,H
323,03-Jun-17,10:09:32,1,1,0,RedAmber,H
324,03-Jun-17,10:09:33,1,1,0,RedAmber,H
325,03-Jun-17,10:09:33,1,1,0,RedAmber,H
326,03-Jun-17,10:09:33,1,1,0,RedAmber,H
327,03-Jun-17,10:09:33,1,1,0,RedAmber,H
328,03-Jun-17,10:09:34,1,1,0,RedAmber,H
329,03-Jun-17,10:09:34,1,1,0,RedAmber,H
330,03-Jun-17,10:09:34,1,1,0,RedAmber,H
331,03-Jun-17,10:09:34,1,1,0,RedAmber,H
332,03-Jun-17,10:09:34,1,1,0,RedAmber,H
333,03-Jun-17,10:09:34,1,1,0,RedAmber,H
334,03-Jun-17,10:09:35,1,1,0,RedAmber,H
335,03-Jun-17,10:09:35,1,1,0,RedAmber,H
336,03-Jun-17,10:09:35,1,1,0,RedAmber,H
337,03-Jun-17,10:09:35,1,1,0,RedAmber,H
338,03-Jun-17,10:09:36,1,1,0,RedAmber,H
339,03-Jun-17,10:09:36,1,1,0,RedAmber,H
340,03-Jun-17,10:09:36,1,1,0,RedAmber,H
341,03-Jun-17,10:09:36,1,1,0,RedAmber,H
342,03-Jun-17,10:09:36,1,1,0,RedAmber,H
343,03-Jun-17,10:09:37,1,1,0,RedAmber,H
344,03-Jun-17,10:09:37,1,1,0,RedAmber,H
345,03-Jun-17,10:09:37,1,1,0,RedAmber,H
346,03-Jun-17,10:09:37,1,1,0,RedAmber,H
347,03-Jun-17,10:09:37,1,1,0,RedAmber,H
348,03-Jun-17,10:09:37,1,1,0,RedAmber,H
349,03-Jun-17,10:09:38,1,1,0,RedAmber,H
350,03-Jun-17,10:09:38,1,1,0,RedAmber,H
351,03-Jun-17,10:09:38,1,1,0,RedAmber,H
352,03-Jun-17,10:09:38,1,1,0,RedAmber,H
353,03-Jun-17,10:09:39,1,1,0,RedAmber,H
354,03-Jun-17,10:09:39,1,1,0,RedAmber,H
355,03-Jun-17,10:09:39,1,1,0,RedAmber,H
356,03-Jun-17,10:09:39,1,1,0,RedAmber,H
