,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
7332,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7333,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7334,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7335,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7336,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7337,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7338,03-Jun-17,10:32:55,1,1,0,RedAmber,D
7339,03-Jun-17,10:32:56,1,1,0,RedAmber,D
7340,03-Jun-17,10:32:56,1,1,0,RedAmber,D
7341,03-Jun-17,10:32:56,1,1,0,RedAmber,D
7632,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7633,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7634,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7635,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7636,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7637,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7638,03-Jun-17,10:33:55,1,1,0,RedAmber,D
7639,03-Jun-17,10:33:56,1,1,0,RedAmber,D
7640,03-Jun-17,10:33:56,1,1,0,RedAmber,D
7641,03-Jun-17,10:33:56,1,1,0,RedAmber,D
7932,03-Jun-17,10:34:54,1,1,0,RedAmber,D
7933,03-Jun-17,10:34:54,1,1,0,RedAmber,D
7934,03-Jun-17,10:34:55,1,1,0,RedAmber,D
7935,03-Jun-17,10:34:55,1,1,0,RedAmber,D
7936,03-Jun-17,10:34:55,1,1,0,RedAmber,D
7937,03-Jun-17,10:34:55,1,1,0,RedAmber,D
7938,03-Jun-17,10:34:56,1,1,0,RedAmber,D
7939,03-Jun-17,10:34:56,1,1,0,RedAmber,D
7940,03-Jun-17,10:34:56,1,1,0,RedAmber,D
7941,03-Jun-17,10:34:56,1,1,0,RedAmber,D
8232,03-Jun-17,10:35:55,1,1,0,RedAmber,D
8233,03-Jun-17,10:35:55,1,1,0,RedAmber,D
8234,03-Jun-17,10:35:55,1,1,0,RedAmber,D
8235,03-Jun-17,10:35:55,1,1,0,RedAmber,D
8236,03-Jun-17,10:35:55,1,1,0,RedAmber,D
8237,03-Jun-17,10:35:56,1,1,0,RedAmber,D
8238,03-Jun-17,10:35:56,1,1,0,RedAmber,D
8239,03-Jun-17,10:35:56,1,1,0,RedAmber,D
8240,03-Jun-17,10:35:56,1,1,0,RedAmber,D
8241,03-Jun-17,10:35:56,1,1,0,RedAmber,D
8532,03-Jun-17,10:36:54,1,1,0,RedAmber,D
8533,03-Jun-17,10:36:55,1,1,0,RedAmber,D
8534,03-Jun-17,10:36:55,1,1,0,RedAmber,D
8535,03-Jun-17,10:36:55,1,1,0,RedAmber,D
8536,03-Jun-17,10:36:55,1,1,0,RedAmber,D
8537,03-Jun-17,10:36:55,1,1,0,RedAmber,D
8538,03-Jun-17,10:36:56,1,1,0,RedAmber,D
8539,03-Jun-17,10:36:56,1,1,0,RedAmber,D
8540,03-Jun-17,10:36:56,1,1,0,RedAmber,D
8541,03-Jun-17,10:36:56,1,1,0,RedAmber,D
8832,03-Jun-17,10:37:54,1,1,0,RedAmber,D
8833,03-Jun-17,10:37:54,1,1,0,RedAmber,D
8834,03-Jun-17,10:37:55,1,1,0,RedAmber,D
8835,03-Jun-17,10:37:55,1,1,0,RedAmber,D
8836,03-Jun-17,10:37:55,1,1,0,RedAmber,D
8837,03-Jun-17,10:37:55,1,1,0,RedAmber,D
8838,03-Jun-17,10:37:56,1,1,0,RedAmber,D
8839,03-Jun-17,10:37:56,1,1,0,RedAmber,D
8840,03-Jun-17,10:37:56,1,1,0,RedAmber,D
8841,03-Jun-17,10:37:56,1,1,0,RedAmber,D
9132,03-Jun-17,10:38:55,1,1,0,RedAmber,D
9133,03-Jun-17,10:38:55,1,1,0,RedAmber,D
9134,03-Jun-17,10:38:55,1,1,0,RedAmber,D
9135,03-Jun-17,10:38:55,1,1,0,RedAmber,D
9136,03-Jun-17,10:38:55,1,1,0,RedAmber,D
9137,03-Jun-17,10:38:56,1,1,0,RedAmber,D
9138,03-Jun-17,10:38:56,1,1,0,RedAmber,D
9139,03-Jun-17,10:38:56,1,1,0,RedAmber,D
9140,03-Jun-17,10:38:56,1,1,0,RedAmber,D
9141,03-Jun-17,10:38:56,1,1,0,RedAmber,D
