,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
1639,03-Jun-17,10:13:56,0,0,1,Green,C
1640,03-Jun-17,10:13:56,0,0,1,Green,C
1641,03-Jun-17,10:13:56,0,0,1,Green,C
1642,03-Jun-17,10:13:57,0,0,1,Green,C
1643,03-Jun-17,10:13:57,0,0,1,Green,C
1644,03-Jun-17,10:13:57,0,0,1,Green,C
1645,03-Jun-17,10:13:57,0,0,1,Green,C
1646,03-Jun-17,10:13:58,0,0,1,Green,C
1647,03-Jun-17,10:13:58,0,0,1,Green,C
1648,03-Jun-17,10:13:58,0,0,1,Green,C
1649,03-Jun-17,10:13:58,0,0,1,Green,C
1650,03-Jun-17,10:13:58,0,0,1,Green,C
1651,03-Jun-17,10:13:58,0,0,1,Green,C
1652,03-Jun-17,10:13:59,0,0,1,Green,C
1653,03-Jun-17,10:13:59,0,0,1,Green,C
1654,03-Jun-17,10:13:59,0,0,1,Green,C
1655,03-Jun-17,10:13:59,0,0,1,Green,C
1656,03-Jun-17,10:14:00,0,0,1,Green,C
1657,03-Jun-17,10:14:00,0,0,1,Green,C
1658,03-Jun-17,10:14:00,0,0,1,Green,C
1659,03-Jun-17,10:14:00,0,0,1,Green,C
1660,03-Jun-17,10:14:00,0,0,1,Green,C
1661,03-Jun-17,10:14:00,0,0,1,Green,C
1662,03-Jun-17,10:14:00,0,0,1,Green,C
1663,03-Jun-17,10:14:00,0,0,1,Green,C
1664,03-Jun-17,10:14:01,0,0,1,Green,C
1665,03-Jun-17,10:14:01,0,0,1,Green,C
1666,03-Jun-17,10:14:01,0,0,1,Green,C
1667,03-Jun-17,10:14:01,0,0,1,Green,C
1668,03-Jun-17,10:14:02,0,0,1,Green,C
1669,03-Jun-17,10:14:02,0,0,1,Green,C
1670,03-Jun-17,10:14:02,0,0,1,Green,C
1671,03-Jun-17,10:14:02,0,0,1,Green,C
1672,03-Jun-17,10:14:02,0,0,1,Green,C
1673,03-Jun-17,10:14:03,0,0,1,Green,C
1674,03-Jun-17,10:14:03,0,0,1,Green,C
1675,03-Jun-17,10:14:03,0,0,1,Green,C
1676,03-Jun-17,10:14:03,0,0,1,Green,C
1677,03-Jun-17,10:14:04,0,0,1,Green,C
1678,03-Jun-17,10:14:04,0,0,1,Green,C
1679,03-Jun-17,10:14:04,0,0,1,Green,C
1680,03-Jun-17,10:14:04,0,0,1,Green,C
1681,03-Jun-17,10:14:04,0,0,1,Green,C
1937,03-Jun-17,10:14:56,0,0,1,Green,C
1938,03-Jun-17,10:14:56,0,0,1,Green,C
1939,03-Jun-17,10:14:56,0,0,1,Green,C
1940,03-Jun-17,10:14:56,0,0,1,Green,C
