,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
3422,03-Jun-17,10:19:52,0,1,0,Amber,B
3423,03-Jun-17,10:19:52,0,1,0,Amber,B
3424,03-Jun-17,10:19:53,0,1,0,Amber,B
3425,03-Jun-17,10:19:53,0,1,0,Amber,B
3426,03-Jun-17,10:19:53,0,1,0,Amber,B
3712,03-Jun-17,10:20:50,0,1,0,Amber,B
3713,03-Jun-17,10:20:51,0,1,0,Amber,B
3714,03-Jun-17,10:20:51,0,1,0,Amber,B
3715,03-Jun-17,10:20:51,0,1,0,Amber,B
3716,03-Jun-17,10:20:51,0,1,0,Amber,B
3717,03-Jun-17,10:20:52,0,1,0,Amber,B
3718,03-Jun-17,10:20:52,0,1,0,Amber,B
3719,03-Jun-17,10:20:52,0,1,0,Amber,B
3720,03-Jun-17,10:20:52,0,1,0,Amber,B
3721,03-Jun-17,10:20:52,0,1,0,Amber,B
3722,03-Jun-17,10:20:53,0,1,0,Amber,B
3723,03-Jun-17,10:20:53,0,1,0,Amber,B
3724,03-Jun-17,10:20:53,0,1,0,Amber,B
3725,03-Jun-17,10:20:53,0,1,0,Amber,B
3726,03-Jun-17,10:20:53,0,1,0,Amber,B
4012,03-Jun-17,10:21:51,0,1,0,Amber,B
4013,03-Jun-17,10:21:51,0,1,0,Amber,B
4014,03-Jun-17,10:21:51,0,1,0,Amber,B
4015,03-Jun-17,10:21:51,0,1,0,Amber,B
4016,03-Jun-17,10:21:51,0,1,0,Amber,B
4017,03-Jun-17,10:21:51,0,1,0,Amber,B
4018,03-Jun-17,10:21:52,0,1,0,Amber,B
4019,03-Jun-17,10:21:52,0,1,0,Amber,B
4020,03-Jun-17,10:21:52,0,1,0,Amber,B
4021,03-Jun-17,10:21:52,0,1,0,Amber,B
4022,03-Jun-17,10:21:52,0,1,0,Amber,B
4023,03-Jun-17,10:21:53,0,1,0,Amber,B
4024,03-Jun-17,10:21:53,0,1,0,Amber,B
4025,03-Jun-17,10:21:53,0,1,0,Amber,B
4026,03-Jun-17,10:21:53,0,1,0,Amber,B
4312,03-Jun-17,10:22:51,0,1,0,Amber,B
4313,03-Jun-17,10:22:51,0,1,0,Amber,B
4314,03-Jun-17,10:22:51,0,1,0,Amber,B
4315,03-Jun-17,10:22:51,0,1,0,Amber,B
4316,03-Jun-17,10:22:51,0,1,0,Amber,B
4317,03-Jun-17,10:22:51,0,1,0,Amber,B
4318,03-Jun-17,10:22:51,0,1,0,Amber,B
4319,03-Jun-17,10:22:52,0,1,0,Amber,B
4320,03-Jun-17,10:22:52,0,1,0,Amber,B
4321,03-Jun-17,10:22:52,0,1,0,Amber,B
4322,03-Jun-17,10:22:52,0,1,0,Amber,B
4323,03-Jun-17,10:22:53,0,1,0,Amber,B
4324,03-Jun-17,10:22:53,0,1,0,Amber,B
4325,03-Jun-17,10:22:53,0,1,0,Amber,B
4326,03-Jun-17,10:22:53,0,1,0,Amber,B
4612,03-Jun-17,10:23:50,0,1,0,Amber,B
4613,03-Jun-17,10:23:51,0,1,0,Amber,B
4614,03-Jun-17,10:23:51,0,1,0,Amber,B
4615,03-Jun-17,10:23:51,0,1,0,Amber,B
4616,03-Jun-17,10:23:51,0,1,0,Amber,B
4617,03-Jun-17,10:23:52,0,1,0,Amber,B
4618,03-Jun-17,10:23:52,0,1,0,Amber,B
4619,03-Jun-17,10:23:52,0,1,0,Amber,B
4620,03-Jun-17,10:23:52,0,1,0,Amber,B
4621,03-Jun-17,10:23:52,0,1,0,Amber,B
4622,03-Jun-17,10:23:53,0,1,0,Amber,B
4623,03-Jun-17,10:23:53,0,1,0,Amber,B
4624,03-Jun-17,10:23:53,0,1,0,Amber,B
4625,03-Jun-17,10:23:53,0,1,0,Amber,B
4626,03-Jun-17,10:23:53,0,1,0,Amber,B
4912,03-Jun-17,10:24:50,0,1,0,Amber,B
4913,03-Jun-17,10:24:51,0,1,0,Amber,B
4914,03-Jun-17,10:24:51,0,1,0,Amber,B
4915,03-Jun-17,10:24:51,0,1,0,Amber,B
4916,03-Jun-17,10:24:51,0,1,0,Amber,B
4917,03-Jun-17,10:24:52,0,1,0,Amber,B
4918,03-Jun-17,10:24:52,0,1,0,Amber,B
4919,03-Jun-17,10:24:52,0,1,0,Amber,B
4920,03-Jun-17,10:24:52,0,1,0,Amber,B
4921,03-Jun-17,10:24:52,0,1,0,Amber,B
4922,03-Jun-17,10:24:53,0,1,0,Amber,B
4923,03-Jun-17,10:24:53,0,1,0,Amber,B
4924,03-Jun-17,10:24:53,0,1,0,Amber,B
4925,03-Jun-17,10:24:53,0,1,0,Amber,B
4926,03-Jun-17,10:24:53,0,1,0,Amber,B
5212,03-Jun-17,10:25:50,0,1,0,Amber,B
5213,03-Jun-17,10:25:50,0,1,0,Amber,B
