,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
1660,03-Jun-17,10:14:00,0,0,1,Green,D
1661,03-Jun-17,10:14:00,0,0,1,Green,D
1662,03-Jun-17,10:14:00,0,0,1,Green,D
1663,03-Jun-17,10:14:00,0,0,1,Green,D
1664,03-Jun-17,10:14:01,0,0,1,Green,D
1665,03-Jun-17,10:14:01,0,0,1,Green,D
1666,03-Jun-17,10:14:01,0,0,1,Green,D
1667,03-Jun-17,10:14:01,0,0,1,Green,D
1668,03-Jun-17,10:14:02,0,0,1,Green,D
1669,03-Jun-17,10:14:02,0,0,1,Green,D
1670,03-Jun-17,10:14:02,0,0,1,Green,D
1671,03-Jun-17,10:14:02,0,0,1,Green,D
1672,03-Jun-17,10:14:02,0,0,1,Green,D
1673,03-Jun-17,10:14:03,0,0,1,Green,D
1674,03-Jun-17,10:14:03,0,0,1,Green,D
1675,03-Jun-17,10:14:03,0,0,1,Green,D
1676,03-Jun-17,10:14:03,0,0,1,Green,D
1677,03-Jun-17,10:14:04,0,0,1,Green,D
1678,03-Jun-17,10:14:04,0,0,1,Green,D
1679,03-Jun-17,10:14:04,0,0,1,Green,D
1680,03-Jun-17,10:14:04,0,0,1,Green,D
1681,03-Jun-17,10:14:04,0,0,1,Green,D
1942,03-Jun-17,10:14:57,0,0,1,Green,D
1943,03-Jun-17,10:14:57,0,0,1,Green,D
1944,03-Jun-17,10:14:57,0,0,1,Green,D
1945,03-Jun-17,10:14:57,0,0,1,Green,D
1946,03-Jun-17,10:14:57,0,0,1,Green,D
1947,03-Jun-17,10:14:58,0,0,1,Green,D
1948,03-Jun-17,10:14:58,0,0,1,Green,D
1949,03-Jun-17,10:14:58,0,0,1,Green,D
1950,03-Jun-17,10:14:58,0,0,1,Green,D
1951,03-Jun-17,10:14:58,0,0,1,Green,D
1952,03-Jun-17,10:14:59,0,0,1,Green,D
1953,03-Jun-17,10:14:59,0,0,1,Green,D
1954,03-Jun-17,10:14:59,0,0,1,Green,D
1955,03-Jun-17,10:14:59,0,0,1,Green,D
1956,03-Jun-17,10:15:00,0,0,1,Green,D
1957,03-Jun-17,10:15:00,0,0,1,Green,D
1958,03-Jun-17,10:15:00,0,0,1,Green,D
1959,03-Jun-17,10:15:00,0,0,1,Green,D
1960,03-Jun-17,10:15:00,0,0,1,Green,D
1961,03-Jun-17,10:15:00,0,0,1,Green,D
1962,03-Jun-17,10:15:01,0,0,1,Green,D
1963,03-Jun-17,10:15:01,0,0,1,Green,D
1964,03-Jun-17,10:15:01,0,0,1,Green,D
1965,03-Jun-17,10:15:01,0,0,1,Green,D
1966,03-Jun-17,10:15:01,0,0,1,Green,D
1967,03-Jun-17,10:15:01,0,0,1,Green,D
1968,03-Jun-17,10:15:02,0,0,1,Green,D
1969,03-Jun-17,10:15:02,0,0,1,Green,D
1970,03-Jun-17,10:15:02,0,0,1,Green,D
1971,03-Jun-17,10:15:02,0,0,1,Green,D
1972,03-Jun-17,10:15:02,0,0,1,Green,D
1973,03-Jun-17,10:15:03,0,0,1,Green,D
