,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
4330,03-Jun-17,10:22:54,1,1,0,RedAmber,C
4331,03-Jun-17,10:22:54,1,1,0,RedAmber,C
4332,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4333,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4334,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4335,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4336,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4627,03-Jun-17,10:23:53,1,1,0,RedAmber,C
4628,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4629,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4630,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4631,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4632,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4633,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4634,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4635,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4636,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4927,03-Jun-17,10:24:53,1,1,0,RedAmber,C
4928,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4929,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4930,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4931,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4932,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4933,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4934,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4935,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4936,03-Jun-17,10:24:55,1,1,0,RedAmber,C
5227,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5228,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5229,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5230,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5231,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5232,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5233,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5234,03-Jun-17,10:25:55,1,1,0,RedAmber,C
5235,03-Jun-17,10:25:55,1,1,0,RedAmber,C
5236,03-Jun-17,10:25:55,1,1,0,RedAmber,C
5527,03-Jun-17,10:26:53,1,1,0,RedAmber,C
5528,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5529,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5530,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5531,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5532,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5533,03-Jun-17,10:26:55,1,1,0,RedAmber,C
5534,03-Jun-17,10:26:55,1,1,0,RedAmber,C
5535,03-Jun-17,10:26:55,1,1,0,RedAmber,C
5536,03-Jun-17,10:26:55,1,1,0,RedAmber,C
5827,03-Jun-17,10:27:53,1,1,0,RedAmber,C
5828,03-Jun-17,10:27:53,1,1,0,RedAmber,C
5829,03-Jun-17,10:27:54,1,1,0,RedAmber,C
5830,03-Jun-17,10:27:54,1,1,0,RedAmber,C
5831,03-Jun-17,10:27:54,1,1,0,RedAmber,C
5832,03-Jun-17,10:27:54,1,1,0,RedAmber,C
5833,03-Jun-17,10:27:55,1,1,0,RedAmber,C
5834,03-Jun-17,10:27:55,1,1,0,RedAmber,C
5835,03-Jun-17,10:27:55,1,1,0,RedAmber,C
5836,03-Jun-17,10:27:55,1,1,0,RedAmber,C
6127,03-Jun-17,10:28:53,1,1,0,RedAmber,C
6128,03-Jun-17,10:28:54,1,1,0,RedAmber,C
6129,03-Jun-17,10:28:54,1,1,0,RedAmber,C
6130,03-Jun-17,10:28:54,1,1,0,RedAmber,C
6131,03-Jun-17,10:28:54,1,1,0,RedAmber,C
6132,03-Jun-17,10:28:54,1,1,0,RedAmber,C
6133,03-Jun-17,10:28:55,1,1,0,RedAmber,C
6134,03-Jun-17,10:28:55,1,1,0,RedAmber,C
6135,03-Jun-17,10:28:55,1,1,0,RedAmber,C
6136,03-Jun-17,10:28:55,1,1,0,RedAmber,C
6427,03-Jun-17,10:29:53,1,1,0,RedAmber,C
6428,03-Jun-17,10:29:53,1,1,0,RedAmber,C
6429,03-Jun-17,10:29:54,1,1,0,RedAmber,C
6430,03-Jun-17,10:29:54,1,1,0,RedAmber,C
6431,03-Jun-17,10:29:54,1,1,0,RedAmber,C
6432,03-Jun-17,10:29:54,1,1,0,RedAmber,C
6433,03-Jun-17,10:29:54,1,1,0,RedAmber,C
6434,03-Jun-17,10:29:55,1,1,0,RedAmber,C
6435,03-Jun-17,10:29:55,1,1,0,RedAmber,C
6436,03-Jun-17,10:29:55,1,1,0,RedAmber,C
6727,03-Jun-17,10:30:53,1,1,0,RedAmber,C
6728,03-Jun-17,10:30:53,1,1,0,RedAmber,C
6729,03-Jun-17,10:30:54,1,1,0,RedAmber,C
6730,03-Jun-17,10:30:54,1,1,0,RedAmber,C
6731,03-Jun-17,10:30:54,1,1,0,RedAmber,C
6732,03-Jun-17,10:30:54,1,1,0,RedAmber,C
6733,03-Jun-17,10:30:55,1,1,0,RedAmber,C
6734,03-Jun-17,10:30:55,1,1,0,RedAmber,C
6735,03-Jun-17,10:30:55,1,1,0,RedAmber,C
6736,03-Jun-17,10:30:55,1,1,0,RedAmber,C
7027,03-Jun-17,10:31:54,1,1,0,RedAmber,C
7028,03-Jun-17,10:31:54,1,1,0,RedAmber,C
7029,03-Jun-17,10:31:54,1,1,0,RedAmber,C
7030,03-Jun-17,10:31:54,1,1,0,RedAmber,C
7031,03-Jun-17,10:31:54,1,1,0,RedAmber,C
7032,03-Jun-17,10:31:55,1,1,0,RedAmber,C
7033,03-Jun-17,10:31:55,1,1,0,RedAmber,C
7034,03-Jun-17,10:31:55,1,1,0,RedAmber,C
7035,03-Jun-17,10:31:55,1,1,0,RedAmber,C
7036,03-Jun-17,10:31:55,1,1,0,RedAmber,C
7327,03-Jun-17,10:32:53,1,1,0,RedAmber,C
7328,03-Jun-17,10:32:54,1,1,0,RedAmber,C
7329,03-Jun-17,10:32:54,1,1,0,RedAmber,C
7330,03-Jun-17,10:32:54,1,1,0,RedAmber,C
7331,03-Jun-17,10:32:54,1,1,0,RedAmber,C
7332,03-Jun-17,10:32:55,1,1,0,RedAmber,C
7333,03-Jun-17,10:32:55,1,1,0,RedAmber,C
7334,03-Jun-17,10:32:55,1,1,0,RedAmber,C
7335,03-Jun-17,10:32:55,1,1,0,RedAmber,C
7336,03-Jun-17,10:32:55,1,1,0,RedAmber,C
7627,03-Jun-17,10:33:54,1,1,0,RedAmber,C
7628,03-Jun-17,10:33:54,1,1,0,RedAmber,C
7629,03-Jun-17,10:33:54,1,1,0,RedAmber,C
7630,03-Jun-17,10:33:54,1,1,0,RedAmber,C
7631,03-Jun-17,10:33:54,1,1,0,RedAmber,C
7632,03-Jun-17,10:33:55,1,1,0,RedAmber,C
7633,03-Jun-17,10:33:55,1,1,0,RedAmber,C
7634,03-Jun-17,10:33:55,1,1,0,RedAmber,C
7635,03-Jun-17,10:33:55,1,1,0,RedAmber,C
7636,03-Jun-17,10:33:55,1,1,0,RedAmber,C
7927,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7928,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7929,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7930,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7931,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7932,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7933,03-Jun-17,10:34:54,1,1,0,RedAmber,C
7934,03-Jun-17,10:34:55,1,1,0,RedAmber,C
7935,03-Jun-17,10:34:55,1,1,0,RedAmber,C
7936,03-Jun-17,10:34:55,1,1,0,RedAmber,C
8227,03-Jun-17,10:35:53,1,1,0,RedAmber,C
8228,03-Jun-17,10:35:54,1,1,0,RedAmber,C
8229,03-Jun-17,10:35:54,1,1,0,RedAmber,C
8230,03-Jun-17,10:35:54,1,1,0,RedAmber,C
8231,03-Jun-17,10:35:54,1,1,0,RedAmber,C
8232,03-Jun-17,10:35:55,1,1,0,RedAmber,C
8233,03-Jun-17,10:35:55,1,1,0,RedAmber,C
8234,03-Jun-17,10:35:55,1,1,0,RedAmber,C
8235,03-Jun-17,10:35:55,1,1,0,RedAmber,C
8236,03-Jun-17,10:35:55,1,1,0,RedAmber,C
8527,03-Jun-17,10:36:54,1,1,0,RedAmber,C
8528,03-Jun-17,10:36:54,1,1,0,RedAmber,C
8529,03-Jun-17,10:36:54,1,1,0,RedAmber,C
8530,03-Jun-17,10:36:54,1,1,0,RedAmber,C
8531,03-Jun-17,10:36:54,1,1,0,RedAmber,C
8532,03-Jun-17,10:36:54,1,1,0,RedAmber,C
8533,03-Jun-17,10:36:55,1,1,0,RedAmber,C
8534,03-Jun-17,10:36:55,1,1,0,RedAmber,C
8535,03-Jun-17,10:36:55,1,1,0,RedAmber,C
8536,03-Jun-17,10:36:55,1,1,0,RedAmber,C
8827,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8828,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8829,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8830,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8831,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8832,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8833,03-Jun-17,10:37:54,1,1,0,RedAmber,C
8834,03-Jun-17,10:37:55,1,1,0,RedAmber,C
8835,03-Jun-17,10:37:55,1,1,0,RedAmber,C
8836,03-Jun-17,10:37:55,1,1,0,RedAmber,C
9127,03-Jun-17,10:38:54,1,1,0,RedAmber,C
9128,03-Jun-17,10:38:54,1,1,0,RedAmber,C
9129,03-Jun-17,10:38:54,1,1,0,RedAmber,C
9130,03-Jun-17,10:38:54,1,1,0,RedAmber,C
9131,03-Jun-17,10:38:54,1,1,0,RedAmber,C
9132,03-Jun-17,10:38:55,1,1,0,RedAmber,C
9133,03-Jun-17,10:38:55,1,1,0,RedAmber,C
9134,03-Jun-17,10:38:55,1,1,0,RedAmber,C
9135,03-Jun-17,10:38:55,1,1,0,RedAmber,C
9136,03-Jun-17,10:38:55,1,1,0,RedAmber,C
