,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
8220,03-Jun-17,10:35:52,0,1,0,Amber,A
8221,03-Jun-17,10:35:52,0,1,0,Amber,A
8222,03-Jun-17,10:35:52,0,1,0,Amber,A
8223,03-Jun-17,10:35:53,0,1,0,Amber,A
8224,03-Jun-17,10:35:53,0,1,0,Amber,A
8225,03-Jun-17,10:35:53,0,1,0,Amber,A
8226,03-Jun-17,10:35:53,0,1,0,Amber,A
8512,03-Jun-17,10:36:50,0,1,0,Amber,A
8513,03-Jun-17,10:36:51,0,1,0,Amber,A
8514,03-Jun-17,10:36:51,0,1,0,Amber,A
8515,03-Jun-17,10:36:51,0,1,0,Amber,A
8516,03-Jun-17,10:36:51,0,1,0,Amber,A
8517,03-Jun-17,10:36:51,0,1,0,Amber,A
8518,03-Jun-17,10:36:52,0,1,0,Amber,A
8519,03-Jun-17,10:36:52,0,1,0,Amber,A
8520,03-Jun-17,10:36:52,0,1,0,Amber,A
8521,03-Jun-17,10:36:52,0,1,0,Amber,A
8522,03-Jun-17,10:36:53,0,1,0,Amber,A
8523,03-Jun-17,10:36:53,0,1,0,Amber,A
8524,03-Jun-17,10:36:53,0,1,0,Amber,A
8525,03-Jun-17,10:36:53,0,1,0,Amber,A
8526,03-Jun-17,10:36:53,0,1,0,Amber,A
8812,03-Jun-17,10:37:50,0,1,0,Amber,A
8813,03-Jun-17,10:37:50,0,1,0,Amber,A
8814,03-Jun-17,10:37:51,0,1,0,Amber,A
8815,03-Jun-17,10:37:51,0,1,0,Amber,A
8816,03-Jun-17,10:37:51,0,1,0,Amber,A
8817,03-Jun-17,10:37:51,0,1,0,Amber,A
8818,03-Jun-17,10:37:52,0,1,0,Amber,A
8819,03-Jun-17,10:37:52,0,1,0,Amber,A
8820,03-Jun-17,10:37:52,0,1,0,Amber,A
8821,03-Jun-17,10:37:52,0,1,0,Amber,A
8822,03-Jun-17,10:37:52,0,1,0,Amber,A
8823,03-Jun-17,10:37:53,0,1,0,Amber,A
8824,03-Jun-17,10:37:53,0,1,0,Amber,A
8825,03-Jun-17,10:37:53,0,1,0,Amber,A
8826,03-Jun-17,10:37:53,0,1,0,Amber,A
9112,03-Jun-17,10:38:51,0,1,0,Amber,A
9113,03-Jun-17,10:38:51,0,1,0,Amber,A
9114,03-Jun-17,10:38:51,0,1,0,Amber,A
9115,03-Jun-17,10:38:51,0,1,0,Amber,A
9116,03-Jun-17,10:38:51,0,1,0,Amber,A
9117,03-Jun-17,10:38:51,0,1,0,Amber,A
9118,03-Jun-17,10:38:52,0,1,0,Amber,A
9119,03-Jun-17,10:38:52,0,1,0,Amber,A
9120,03-Jun-17,10:38:52,0,1,0,Amber,A
9121,03-Jun-17,10:38:52,0,1,0,Amber,A
9122,03-Jun-17,10:38:52,0,1,0,Amber,A
9123,03-Jun-17,10:38:53,0,1,0,Amber,A
9124,03-Jun-17,10:38:53,0,1,0,Amber,A
9125,03-Jun-17,10:38:53,0,1,0,Amber,A
9126,03-Jun-17,10:38:53,0,1,0,Amber,A
