,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
848,03-Jun-17,10:11:18,1,0,0,Red,E
849,03-Jun-17,10:11:18,1,0,0,Red,E
850,03-Jun-17,10:11:18,1,0,0,Red,E
851,03-Jun-17,10:11:18,1,0,0,Red,E
852,03-Jun-17,10:11:19,1,0,0,Red,E
853,03-Jun-17,10:11:19,1,0,0,Red,E
854,03-Jun-17,10:11:19,1,0,0,Red,E
855,03-Jun-17,10:11:19,1,0,0,Red,E
856,03-Jun-17,10:11:19,1,0,0,Red,E
857,03-Jun-17,10:11:19,1,0,0,Red,E
858,03-Jun-17,10:11:20,1,0,0,Red,E
859,03-Jun-17,10:11:20,1,0,0,Red,E
860,03-Jun-17,10:11:20,1,0,0,Red,E
861,03-Jun-17,10:11:20,1,0,0,Red,E
862,03-Jun-17,10:11:20,1,0,0,Red,E
863,03-Jun-17,10:11:21,1,0,0,Red,E
864,03-Jun-17,10:11:21,1,0,0,Red,E
865,03-Jun-17,10:11:21,1,0,0,Red,E
866,03-Jun-17,10:11:21,1,0,0,Red,E
867,03-Jun-17,10:11:22,1,0,0,Red,E
868,03-Jun-17,10:11:22,1,0,0,Red,E
869,03-Jun-17,10:11:22,1,0,0,Red,E
870,03-Jun-17,10:11:22,1,0,0,Red,E
871,03-Jun-17,10:11:22,1,0,0,Red,E
872,03-Jun-17,10:11:23,1,0,0,Red,E
873,03-Jun-17,10:11:23,1,0,0,Red,E
874,03-Jun-17,10:11:23,1,0,0,Red,E
875,03-Jun-17,10:11:23,1,0,0,Red,E
876,03-Jun-17,10:11:23,1,0,0,Red,E
877,03-Jun-17,10:11:23,1,0,0,Red,E
878,03-Jun-17,10:11:23,1,0,0,Red,E
879,03-Jun-17,10:11:24,1,0,0,Red,E
880,03-Jun-17,10:11:24,1,0,0,Red,E
881,03-Jun-17,10:11:24,1,0,0,Red,E
882,03-Jun-17,10:11:24,1,0,0,Red,E
883,03-Jun-17,10:11:25,1,0,0,Red,E
884,03-Jun-17,10:11:25,1,0,0,Red,E
885,03-Jun-17,10:11:25,1,0,0,Red,E
886,03-Jun-17,10:11:25,1,0,0,Red,E
887,03-Jun-17,10:11:26,1,0,0,Red,E
888,03-Jun-17,10:11:26,1,0,0,Red,E
889,03-Jun-17,10:11:26,1,0,0,Red,E
890,03-Jun-17,10:11:26,1,0,0,Red,E
891,03-Jun-17,10:11:26,1,0,0,Red,E
892,03-Jun-17,10:11:27,1,0,0,Red,E
893,03-Jun-17,10:11:27,1,0,0,Red,E
894,03-Jun-17,10:11:27,1,0,0,Red,E
895,03-Jun-17,10:11:27,1,0,0,Red,E
896,03-Jun-17,10:11:27,1,0,0,Red,E
897,03-Jun-17,10:11:27,1,0,0,Red,E
898,03-Jun-17,10:11:27,1,0,0,Red,E
899,03-Jun-17,10:11:28,1,0,0,Red,E
900,03-Jun-17,10:11:28,1,0,0,Red,E
901,03-Jun-17,10:11:28,1,0,0,Red,E
902,03-Jun-17,10:11:28,1,0,0,Red,E
903,03-Jun-17,10:11:29,1,0,0,Red,E
904,03-Jun-17,10:11:29,1,0,0,Red,E
905,03-Jun-17,10:11:29,1,0,0,Red,E
906,03-Jun-17,10:11:29,1,0,0,Red,E
907,03-Jun-17,10:11:30,1,0,0,Red,E
908,03-Jun-17,10:11:30,1,0,0,Red,E
909,03-Jun-17,10:11:30,1,0,0,Red,E
910,03-Jun-17,10:11:30,1,0,0,Red,E
911,03-Jun-17,10:11:30,1,0,0,Red,E
912,03-Jun-17,10:11:30,1,0,0,Red,E
913,03-Jun-17,10:11:31,1,0,0,Red,E
914,03-Jun-17,10:11:31,1,0,0,Red,E
915,03-Jun-17,10:11:31,1,0,0,Red,E
916,03-Jun-17,10:11:31,1,0,0,Red,E
917,03-Jun-17,10:11:31,1,0,0,Red,E
918,03-Jun-17,10:11:32,1,0,0,Red,E
919,03-Jun-17,10:11:32,1,0,0,Red,E
920,03-Jun-17,10:11:32,1,0,0,Red,E
921,03-Jun-17,10:11:32,1,0,0,Red,E
922,03-Jun-17,10:11:32,1,0,0,Red,E
923,03-Jun-17,10:11:33,1,0,0,Red,E
924,03-Jun-17,10:11:33,1,0,0,Red,E
925,03-Jun-17,10:11:33,1,0,0,Red,E
926,03-Jun-17,10:11:33,1,0,0,Red,E
927,03-Jun-17,10:11:34,1,0,0,Red,E
928,03-Jun-17,10:11:34,1,0,0,Red,E
929,03-Jun-17,10:11:34,1,0,0,Red,E
930,03-Jun-17,10:11:34,1,0,0,Red,E
931,03-Jun-17,10:11:34,1,0,0,Red,E
932,03-Jun-17,10:11:34,1,0,0,Red,E
933,03-Jun-17,10:11:34,1,0,0,Red,E
934,03-Jun-17,10:11:35,1,0,0,Red,E
935,03-Jun-17,10:11:35,1,0,0,Red,E
936,03-Jun-17,10:11:35,1,0,0,Red,E
937,03-Jun-17,10:11:35,1,0,0,Red,E
938,03-Jun-17,10:11:36,1,0,0,Red,E
939,03-Jun-17,10:11:36,1,0,0,Red,E
940,03-Jun-17,10:11:36,1,0,0,Red,E
941,03-Jun-17,10:11:36,1,0,0,Red,E
942,03-Jun-17,10:11:37,1,0,0,Red,E
