,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
616,03-Jun-17,10:10:31,1,0,0,Red,I
617,03-Jun-17,10:10:31,1,0,0,Red,I
618,03-Jun-17,10:10:32,1,0,0,Red,I
619,03-Jun-17,10:10:32,1,0,0,Red,I
620,03-Jun-17,10:10:32,1,0,0,Red,I
621,03-Jun-17,10:10:32,1,0,0,Red,I
622,03-Jun-17,10:10:32,1,0,0,Red,I
623,03-Jun-17,10:10:32,1,0,0,Red,I
624,03-Jun-17,10:10:33,1,0,0,Red,I
625,03-Jun-17,10:10:33,1,0,0,Red,I
626,03-Jun-17,10:10:33,1,0,0,Red,I
627,03-Jun-17,10:10:33,1,0,0,Red,I
628,03-Jun-17,10:10:34,1,0,0,Red,I
629,03-Jun-17,10:10:34,1,0,0,Red,I
630,03-Jun-17,10:10:34,1,0,0,Red,I
631,03-Jun-17,10:10:34,1,0,0,Red,I
632,03-Jun-17,10:10:34,1,0,0,Red,I
633,03-Jun-17,10:10:35,1,0,0,Red,I
634,03-Jun-17,10:10:35,1,0,0,Red,I
635,03-Jun-17,10:10:35,1,0,0,Red,I
636,03-Jun-17,10:10:35,1,0,0,Red,I
637,03-Jun-17,10:10:36,1,0,0,Red,I
638,03-Jun-17,10:10:36,1,0,0,Red,I
639,03-Jun-17,10:10:36,1,0,0,Red,I
640,03-Jun-17,10:10:36,1,0,0,Red,I
641,03-Jun-17,10:10:36,1,0,0,Red,I
642,03-Jun-17,10:10:36,1,0,0,Red,I
643,03-Jun-17,10:10:36,1,0,0,Red,I
644,03-Jun-17,10:10:37,1,0,0,Red,I
645,03-Jun-17,10:10:37,1,0,0,Red,I
646,03-Jun-17,10:10:37,1,0,0,Red,I
647,03-Jun-17,10:10:37,1,0,0,Red,I
648,03-Jun-17,10:10:38,1,0,0,Red,I
649,03-Jun-17,10:10:38,1,0,0,Red,I
650,03-Jun-17,10:10:38,1,0,0,Red,I
651,03-Jun-17,10:10:38,1,0,0,Red,I
652,03-Jun-17,10:10:38,1,0,0,Red,I
653,03-Jun-17,10:10:39,1,0,0,Red,I
654,03-Jun-17,10:10:39,1,0,0,Red,I
655,03-Jun-17,10:10:39,1,0,0,Red,I
656,03-Jun-17,10:10:39,1,0,0,Red,I
657,03-Jun-17,10:10:39,1,0,0,Red,I
658,03-Jun-17,10:10:39,1,0,0,Red,I
659,03-Jun-17,10:10:40,1,0,0,Red,I
660,03-Jun-17,10:10:40,1,0,0,Red,I
661,03-Jun-17,10:10:40,1,0,0,Red,I
662,03-Jun-17,10:10:40,1,0,0,Red,I
663,03-Jun-17,10:10:40,1,0,0,Red,I
664,03-Jun-17,10:10:41,1,0,0,Red,I
665,03-Jun-17,10:10:41,1,0,0,Red,I
666,03-Jun-17,10:10:41,1,0,0,Red,I
667,03-Jun-17,10:10:41,1,0,0,Red,I
668,03-Jun-17,10:10:42,1,0,0,Red,I
669,03-Jun-17,10:10:42,1,0,0,Red,I
670,03-Jun-17,10:10:42,1,0,0,Red,I
671,03-Jun-17,10:10:42,1,0,0,Red,I
672,03-Jun-17,10:10:43,1,0,0,Red,I
673,03-Jun-17,10:10:43,1,0,0,Red,I
674,03-Jun-17,10:10:43,1,0,0,Red,I
675,03-Jun-17,10:10:43,1,0,0,Red,I
676,03-Jun-17,10:10:43,1,0,0,Red,I
677,03-Jun-17,10:10:43,1,0,0,Red,I
678,03-Jun-17,10:10:43,1,0,0,Red,I
679,03-Jun-17,10:10:44,1,0,0,Red,I
680,03-Jun-17,10:10:44,1,0,0,Red,I
681,03-Jun-17,10:10:44,1,0,0,Red,I
682,03-Jun-17,10:10:44,1,0,0,Red,I
683,03-Jun-17,10:10:45,1,0,0,Red,I
684,03-Jun-17,10:10:45,1,0,0,Red,I
685,03-Jun-17,10:10:45,1,0,0,Red,I
686,03-Jun-17,10:10:45,1,0,0,Red,I
687,03-Jun-17,10:10:45,1,0,0,Red,I
688,03-Jun-17,10:10:46,1,0,0,Red,I
689,03-Jun-17,10:10:46,1,0,0,Red,I
690,03-Jun-17,10:10:46,1,0,0,Red,I
691,03-Jun-17,10:10:46,1,0,0,Red,I
692,03-Jun-17,10:10:46,1,0,0,Red,I
693,03-Jun-17,10:10:47,1,0,0,Red,I
694,03-Jun-17,10:10:47,1,0,0,Red,I
695,03-Jun-17,10:10:47,1,0,0,Red,I
696,03-Jun-17,10:10:47,1,0,0,Red,I
697,03-Jun-17,10:10:48,1,0,0,Red,I
698,03-Jun-17,10:10:48,1,0,0,Red,I
699,03-Jun-17,10:10:48,1,0,0,Red,I
700,03-Jun-17,10:10:48,1,0,0,Red,I
701,03-Jun-17,10:10:48,1,0,0,Red,I
702,03-Jun-17,10:10:48,1,0,0,Red,I
703,03-Jun-17,10:10:48,1,0,0,Red,I
704,03-Jun-17,10:10:49,1,0,0,Red,I
705,03-Jun-17,10:10:49,1,0,0,Red,I
706,03-Jun-17,10:10:49,1,0,0,Red,I
707,03-Jun-17,10:10:49,1,0,0,Red,I
708,03-Jun-17,10:10:50,1,0,0,Red,I
