,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
4093,03-Jun-17,10:22:07,0,1,0,Amber,D
4094,03-Jun-17,10:22:07,0,1,0,Amber,D
4095,03-Jun-17,10:22:07,0,1,0,Amber,D
4096,03-Jun-17,10:22:07,0,1,0,Amber,D
4382,03-Jun-17,10:23:04,0,1,0,Amber,D
4383,03-Jun-17,10:23:05,0,1,0,Amber,D
4384,03-Jun-17,10:23:05,0,1,0,Amber,D
4385,03-Jun-17,10:23:05,0,1,0,Amber,D
4386,03-Jun-17,10:23:05,0,1,0,Amber,D
4387,03-Jun-17,10:23:06,0,1,0,Amber,D
4388,03-Jun-17,10:23:06,0,1,0,Amber,D
4389,03-Jun-17,10:23:06,0,1,0,Amber,D
4390,03-Jun-17,10:23:06,0,1,0,Amber,D
4391,03-Jun-17,10:23:06,0,1,0,Amber,D
4392,03-Jun-17,10:23:07,0,1,0,Amber,D
4393,03-Jun-17,10:23:07,0,1,0,Amber,D
4394,03-Jun-17,10:23:07,0,1,0,Amber,D
4395,03-Jun-17,10:23:07,0,1,0,Amber,D
4396,03-Jun-17,10:23:07,0,1,0,Amber,D
4682,03-Jun-17,10:24:05,0,1,0,Amber,D
4683,03-Jun-17,10:24:05,0,1,0,Amber,D
4684,03-Jun-17,10:24:05,0,1,0,Amber,D
4685,03-Jun-17,10:24:05,0,1,0,Amber,D
4686,03-Jun-17,10:24:06,0,1,0,Amber,D
4687,03-Jun-17,10:24:06,0,1,0,Amber,D
4688,03-Jun-17,10:24:06,0,1,0,Amber,D
4689,03-Jun-17,10:24:06,0,1,0,Amber,D
4690,03-Jun-17,10:24:06,0,1,0,Amber,D
4691,03-Jun-17,10:24:06,0,1,0,Amber,D
4692,03-Jun-17,10:24:06,0,1,0,Amber,D
4693,03-Jun-17,10:24:07,0,1,0,Amber,D
4694,03-Jun-17,10:24:07,0,1,0,Amber,D
4695,03-Jun-17,10:24:07,0,1,0,Amber,D
4696,03-Jun-17,10:24:07,0,1,0,Amber,D
4982,03-Jun-17,10:25:04,0,1,0,Amber,D
4983,03-Jun-17,10:25:05,0,1,0,Amber,D
4984,03-Jun-17,10:25:05,0,1,0,Amber,D
4985,03-Jun-17,10:25:05,0,1,0,Amber,D
4986,03-Jun-17,10:25:05,0,1,0,Amber,D
4987,03-Jun-17,10:25:06,0,1,0,Amber,D
4988,03-Jun-17,10:25:06,0,1,0,Amber,D
4989,03-Jun-17,10:25:06,0,1,0,Amber,D
4990,03-Jun-17,10:25:06,0,1,0,Amber,D
4991,03-Jun-17,10:25:06,0,1,0,Amber,D
4992,03-Jun-17,10:25:06,0,1,0,Amber,D
4993,03-Jun-17,10:25:06,0,1,0,Amber,D
4994,03-Jun-17,10:25:07,0,1,0,Amber,D
4995,03-Jun-17,10:25:07,0,1,0,Amber,D
4996,03-Jun-17,10:25:07,0,1,0,Amber,D
5282,03-Jun-17,10:26:04,0,1,0,Amber,D
5283,03-Jun-17,10:26:05,0,1,0,Amber,D
5284,03-Jun-17,10:26:05,0,1,0,Amber,D
5285,03-Jun-17,10:26:05,0,1,0,Amber,D
5286,03-Jun-17,10:26:05,0,1,0,Amber,D
5287,03-Jun-17,10:26:06,0,1,0,Amber,D
5288,03-Jun-17,10:26:06,0,1,0,Amber,D
5289,03-Jun-17,10:26:06,0,1,0,Amber,D
5290,03-Jun-17,10:26:06,0,1,0,Amber,D
5291,03-Jun-17,10:26:06,0,1,0,Amber,D
5292,03-Jun-17,10:26:06,0,1,0,Amber,D
5293,03-Jun-17,10:26:06,0,1,0,Amber,D
5294,03-Jun-17,10:26:07,0,1,0,Amber,D
5295,03-Jun-17,10:26:07,0,1,0,Amber,D
5296,03-Jun-17,10:26:07,0,1,0,Amber,D
5582,03-Jun-17,10:27:04,0,1,0,Amber,D
5583,03-Jun-17,10:27:04,0,1,0,Amber,D
5584,03-Jun-17,10:27:05,0,1,0,Amber,D
5585,03-Jun-17,10:27:05,0,1,0,Amber,D
5586,03-Jun-17,10:27:05,0,1,0,Amber,D
5587,03-Jun-17,10:27:05,0,1,0,Amber,D
5588,03-Jun-17,10:27:05,0,1,0,Amber,D
5589,03-Jun-17,10:27:06,0,1,0,Amber,D
5590,03-Jun-17,10:27:06,0,1,0,Amber,D
5591,03-Jun-17,10:27:06,0,1,0,Amber,D
5592,03-Jun-17,10:27:06,0,1,0,Amber,D
5593,03-Jun-17,10:27:07,0,1,0,Amber,D
5594,03-Jun-17,10:27:07,0,1,0,Amber,D
5595,03-Jun-17,10:27:07,0,1,0,Amber,D
5596,03-Jun-17,10:27:07,0,1,0,Amber,D
5882,03-Jun-17,10:28:04,0,1,0,Amber,D
5883,03-Jun-17,10:28:04,0,1,0,Amber,D
5884,03-Jun-17,10:28:05,0,1,0,Amber,D
5885,03-Jun-17,10:28:05,0,1,0,Amber,D
5886,03-Jun-17,10:28:05,0,1,0,Amber,D
