,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
587,03-Jun-17,10:10:25,1,0,0,Red,H
588,03-Jun-17,10:10:26,1,0,0,Red,H
589,03-Jun-17,10:10:26,1,0,0,Red,H
590,03-Jun-17,10:10:26,1,0,0,Red,H
591,03-Jun-17,10:10:26,1,0,0,Red,H
592,03-Jun-17,10:10:27,1,0,0,Red,H
593,03-Jun-17,10:10:27,1,0,0,Red,H
594,03-Jun-17,10:10:27,1,0,0,Red,H
595,03-Jun-17,10:10:27,1,0,0,Red,H
596,03-Jun-17,10:10:27,1,0,0,Red,H
597,03-Jun-17,10:10:27,1,0,0,Red,H
598,03-Jun-17,10:10:27,1,0,0,Red,H
599,03-Jun-17,10:10:28,1,0,0,Red,H
600,03-Jun-17,10:10:28,1,0,0,Red,H
601,03-Jun-17,10:10:28,1,0,0,Red,H
602,03-Jun-17,10:10:28,1,0,0,Red,H
603,03-Jun-17,10:10:28,1,0,0,Red,H
604,03-Jun-17,10:10:29,1,0,0,Red,H
605,03-Jun-17,10:10:29,1,0,0,Red,H
606,03-Jun-17,10:10:29,1,0,0,Red,H
607,03-Jun-17,10:10:29,1,0,0,Red,H
608,03-Jun-17,10:10:30,1,0,0,Red,H
609,03-Jun-17,10:10:30,1,0,0,Red,H
610,03-Jun-17,10:10:30,1,0,0,Red,H
611,03-Jun-17,10:10:30,1,0,0,Red,H
612,03-Jun-17,10:10:30,1,0,0,Red,H
613,03-Jun-17,10:10:31,1,0,0,Red,H
614,03-Jun-17,10:10:31,1,0,0,Red,H
615,03-Jun-17,10:10:31,1,0,0,Red,H
616,03-Jun-17,10:10:31,1,0,0,Red,H
617,03-Jun-17,10:10:31,1,0,0,Red,H
618,03-Jun-17,10:10:32,1,0,0,Red,H
619,03-Jun-17,10:10:32,1,0,0,Red,H
620,03-Jun-17,10:10:32,1,0,0,Red,H
621,03-Jun-17,10:10:32,1,0,0,Red,H
622,03-Jun-17,10:10:32,1,0,0,Red,H
623,03-Jun-17,10:10:32,1,0,0,Red,H
624,03-Jun-17,10:10:33,1,0,0,Red,H
625,03-Jun-17,10:10:33,1,0,0,Red,H
626,03-Jun-17,10:10:33,1,0,0,Red,H
627,03-Jun-17,10:10:33,1,0,0,Red,H
628,03-Jun-17,10:10:34,1,0,0,Red,H
629,03-Jun-17,10:10:34,1,0,0,Red,H
630,03-Jun-17,10:10:34,1,0,0,Red,H
631,03-Jun-17,10:10:34,1,0,0,Red,H
632,03-Jun-17,10:10:34,1,0,0,Red,H
633,03-Jun-17,10:10:35,1,0,0,Red,H
634,03-Jun-17,10:10:35,1,0,0,Red,H
635,03-Jun-17,10:10:35,1,0,0,Red,H
636,03-Jun-17,10:10:35,1,0,0,Red,H
637,03-Jun-17,10:10:36,1,0,0,Red,H
638,03-Jun-17,10:10:36,1,0,0,Red,H
639,03-Jun-17,10:10:36,1,0,0,Red,H
640,03-Jun-17,10:10:36,1,0,0,Red,H
