,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
644,24-Jun-17,16:51:42,1,0,0,Red,E
645,24-Jun-17,16:51:42,1,0,0,Red,E
646,24-Jun-17,16:51:42,1,0,0,Red,E
647,24-Jun-17,16:51:43,1,0,0,Red,E
648,24-Jun-17,16:51:43,1,0,0,Red,E
649,24-Jun-17,16:51:43,1,0,0,Red,E
650,24-Jun-17,16:51:43,1,0,0,Red,E
651,24-Jun-17,16:51:44,1,0,0,Red,E
652,24-Jun-17,16:51:44,1,0,0,Red,E
653,24-Jun-17,16:51:44,1,0,0,Red,E
654,24-Jun-17,16:51:44,1,0,0,Red,E
655,24-Jun-17,16:51:44,1,0,0,Red,E
656,24-Jun-17,16:51:44,1,0,0,Red,E
657,24-Jun-17,16:51:44,1,0,0,Red,E
658,24-Jun-17,16:51:45,1,0,0,Red,E
659,24-Jun-17,16:51:45,1,0,0,Red,E
660,24-Jun-17,16:51:45,1,0,0,Red,E
661,24-Jun-17,16:51:45,1,0,0,Red,E
662,24-Jun-17,16:51:46,1,0,0,Red,E
663,24-Jun-17,16:51:46,1,0,0,Red,E
664,24-Jun-17,16:51:46,1,0,0,Red,E
665,24-Jun-17,16:51:46,1,0,0,Red,E
666,24-Jun-17,16:51:46,1,0,0,Red,E
667,24-Jun-17,16:51:47,1,0,0,Red,E
668,24-Jun-17,16:51:47,1,0,0,Red,E
669,24-Jun-17,16:51:47,1,0,0,Red,E
670,24-Jun-17,16:51:47,1,0,0,Red,E
671,24-Jun-17,16:51:47,1,0,0,Red,E
672,24-Jun-17,16:51:47,1,0,0,Red,E
673,24-Jun-17,16:51:48,1,0,0,Red,E
674,24-Jun-17,16:51:48,1,0,0,Red,E
675,24-Jun-17,16:51:48,1,0,0,Red,E
676,24-Jun-17,16:51:48,1,0,0,Red,E
677,24-Jun-17,16:51:48,1,0,0,Red,E
678,24-Jun-17,16:51:49,1,0,0,Red,E
679,24-Jun-17,16:51:49,1,0,0,Red,E
680,24-Jun-17,16:51:49,1,0,0,Red,E
681,24-Jun-17,16:51:49,1,0,0,Red,E
682,24-Jun-17,16:51:50,1,0,0,Red,E
683,24-Jun-17,16:51:50,1,0,0,Red,E
684,24-Jun-17,16:51:50,1,0,0,Red,E
