,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
590,03-Jun-17,10:10:26,1,0,0,0,H
591,03-Jun-17,10:10:26,1,0,0,0,H
592,03-Jun-17,10:10:27,1,0,0,0,H
593,03-Jun-17,10:10:27,1,0,0,0,H
594,03-Jun-17,10:10:27,1,0,0,0,H
595,03-Jun-17,10:10:27,1,0,0,0,H
596,03-Jun-17,10:10:27,1,0,0,0,H
597,03-Jun-17,10:10:27,1,0,0,0,H
598,03-Jun-17,10:10:27,1,0,0,0,H
599,03-Jun-17,10:10:28,1,0,0,0,H
600,03-Jun-17,10:10:28,1,0,0,0,H
601,03-Jun-17,10:10:28,1,0,0,0,H
602,03-Jun-17,10:10:28,1,0,0,0,H
603,03-Jun-17,10:10:28,1,0,0,0,H
604,03-Jun-17,10:10:29,1,0,0,0,H
605,03-Jun-17,10:10:29,1,0,0,0,H
606,03-Jun-17,10:10:29,1,0,0,0,H
607,03-Jun-17,10:10:29,1,0,0,0,H
608,03-Jun-17,10:10:30,1,0,0,0,H
609,03-Jun-17,10:10:30,1,0,0,0,H
610,03-Jun-17,10:10:30,1,0,0,0,H
611,03-Jun-17,10:10:30,1,0,0,0,H
612,03-Jun-17,10:10:30,1,0,0,0,H
613,03-Jun-17,10:10:31,1,0,0,0,H
614,03-Jun-17,10:10:31,1,0,0,0,H
615,03-Jun-17,10:10:31,1,0,0,0,H
616,03-Jun-17,10:10:31,1,0,0,0,H
617,03-Jun-17,10:10:31,1,0,0,0,H
618,03-Jun-17,10:10:32,1,0,0,0,H
619,03-Jun-17,10:10:32,1,0,0,0,H
620,03-Jun-17,10:10:32,1,0,0,0,H
621,03-Jun-17,10:10:32,1,0,0,0,H
622,03-Jun-17,10:10:32,1,0,0,0,H
623,03-Jun-17,10:10:32,1,0,0,0,H
624,03-Jun-17,10:10:33,1,0,0,0,H
625,03-Jun-17,10:10:33,1,0,0,0,H
626,03-Jun-17,10:10:33,1,0,0,0,H
627,03-Jun-17,10:10:33,1,0,0,0,H
628,03-Jun-17,10:10:34,1,0,0,0,H
629,03-Jun-17,10:10:34,1,0,0,0,H
630,03-Jun-17,10:10:34,1,0,0,0,H
631,03-Jun-17,10:10:34,1,0,0,0,H
632,03-Jun-17,10:10:34,1,0,0,0,H
633,03-Jun-17,10:10:35,1,0,0,0,H
634,03-Jun-17,10:10:35,1,0,0,0,H
635,03-Jun-17,10:10:35,1,0,0,0,H
636,03-Jun-17,10:10:35,1,0,0,0,H
637,03-Jun-17,10:10:36,1,0,0,0,H
638,03-Jun-17,10:10:36,1,0,0,0,H
639,03-Jun-17,10:10:36,1,0,0,0,H
640,03-Jun-17,10:10:36,1,0,0,0,H
641,03-Jun-17,10:10:36,1,0,0,0,H
642,03-Jun-17,10:10:36,1,0,0,0,H
643,03-Jun-17,10:10:36,1,0,0,0,H
644,03-Jun-17,10:10:37,1,0,0,0,H
645,03-Jun-17,10:10:37,1,0,0,0,H
646,03-Jun-17,10:10:37,1,0,0,0,H
647,03-Jun-17,10:10:37,1,0,0,0,H
648,03-Jun-17,10:10:38,1,0,0,0,H
649,03-Jun-17,10:10:38,1,0,0,0,H
650,03-Jun-17,10:10:38,1,0,0,0,H
651,03-Jun-17,10:10:38,1,0,0,0,H
652,03-Jun-17,10:10:38,1,0,0,0,H
653,03-Jun-17,10:10:39,1,0,0,0,H
654,03-Jun-17,10:10:39,1,0,0,0,H
655,03-Jun-17,10:10:39,1,0,0,0,H
656,03-Jun-17,10:10:39,1,0,0,0,H
657,03-Jun-17,10:10:39,1,0,0,0,H
658,03-Jun-17,10:10:39,1,0,0,0,H
659,03-Jun-17,10:10:40,1,0,0,0,H
660,03-Jun-17,10:10:40,1,0,0,0,H
661,03-Jun-17,10:10:40,1,0,0,0,H
662,03-Jun-17,10:10:40,1,0,0,0,H
663,03-Jun-17,10:10:40,1,0,0,0,H
664,03-Jun-17,10:10:41,1,0,0,0,H
665,03-Jun-17,10:10:41,1,0,0,0,H
666,03-Jun-17,10:10:41,1,0,0,0,H
667,03-Jun-17,10:10:41,1,0,0,0,H
668,03-Jun-17,10:10:42,1,0,0,0,H
669,03-Jun-17,10:10:42,1,0,0,0,H
670,03-Jun-17,10:10:42,1,0,0,0,H
671,03-Jun-17,10:10:42,1,0,0,0,H
672,03-Jun-17,10:10:43,1,0,0,0,H
673,03-Jun-17,10:10:43,1,0,0,0,H
674,03-Jun-17,10:10:43,1,0,0,0,H
675,03-Jun-17,10:10:43,1,0,0,0,H
676,03-Jun-17,10:10:43,1,0,0,0,H
677,03-Jun-17,10:10:43,1,0,0,0,H
678,03-Jun-17,10:10:43,1,0,0,0,H
679,03-Jun-17,10:10:44,1,0,0,0,H
680,03-Jun-17,10:10:44,1,0,0,0,H
681,03-Jun-17,10:10:44,1,0,0,0,H
682,03-Jun-17,10:10:44,1,0,0,0,H
683,03-Jun-17,10:10:45,1,0,0,0,H
684,03-Jun-17,10:10:45,1,0,0,0,H
685,03-Jun-17,10:10:45,1,0,0,0,H
686,03-Jun-17,10:10:45,1,0,0,0,H
687,03-Jun-17,10:10:45,1,0,0,0,H
688,03-Jun-17,10:10:46,1,0,0,0,H
689,03-Jun-17,10:10:46,1,0,0,0,H
690,03-Jun-17,10:10:46,1,0,0,0,H
691,03-Jun-17,10:10:46,1,0,0,0,H
692,03-Jun-17,10:10:46,1,0,0,0,H
693,03-Jun-17,10:10:47,1,0,0,0,H
694,03-Jun-17,10:10:47,1,0,0,0,H
695,03-Jun-17,10:10:47,1,0,0,0,H
696,03-Jun-17,10:10:47,1,0,0,0,H
697,03-Jun-17,10:10:48,1,0,0,0,H
698,03-Jun-17,10:10:48,1,0,0,0,H
699,03-Jun-17,10:10:48,1,0,0,0,H
700,03-Jun-17,10:10:48,1,0,0,0,H
701,03-Jun-17,10:10:48,1,0,0,0,H
702,03-Jun-17,10:10:48,1,0,0,0,H
703,03-Jun-17,10:10:48,1,0,0,0,H
704,03-Jun-17,10:10:49,1,0,0,0,H
705,03-Jun-17,10:10:49,1,0,0,0,H
706,03-Jun-17,10:10:49,1,0,0,0,H
707,03-Jun-17,10:10:49,1,0,0,0,H
708,03-Jun-17,10:10:50,1,0,0,0,H
709,03-Jun-17,10:10:50,1,0,0,0,H
710,03-Jun-17,10:10:50,1,0,0,0,H
711,03-Jun-17,10:10:50,1,0,0,0,H
712,03-Jun-17,10:10:50,1,0,0,0,H
713,03-Jun-17,10:10:51,1,0,0,0,H
714,03-Jun-17,10:10:51,1,0,0,0,H
715,03-Jun-17,10:10:51,1,0,0,0,H
716,03-Jun-17,10:10:51,1,0,0,0,H
717,03-Jun-17,10:10:52,1,0,0,0,H
718,03-Jun-17,10:10:52,1,0,0,0,H
719,03-Jun-17,10:10:52,1,0,0,0,H
720,03-Jun-17,10:10:52,1,0,0,0,H
721,03-Jun-17,10:10:52,1,0,0,0,H
722,03-Jun-17,10:10:52,1,0,0,0,H
723,03-Jun-17,10:10:52,1,0,0,0,H
724,03-Jun-17,10:10:53,1,0,0,0,H
725,03-Jun-17,10:10:53,1,0,0,0,H
726,03-Jun-17,10:10:53,1,0,0,0,H
727,03-Jun-17,10:10:53,1,0,0,0,H
728,03-Jun-17,10:10:54,1,0,0,0,H
729,03-Jun-17,10:10:54,1,0,0,0,H
730,03-Jun-17,10:10:54,1,0,0,0,H
731,03-Jun-17,10:10:54,1,0,0,0,H
732,03-Jun-17,10:10:54,1,0,0,0,H
733,03-Jun-17,10:10:55,1,0,0,0,H
734,03-Jun-17,10:10:55,1,0,0,0,H
735,03-Jun-17,10:10:55,1,0,0,0,H
736,03-Jun-17,10:10:55,1,0,0,0,H
737,03-Jun-17,10:10:56,1,0,0,0,H
738,03-Jun-17,10:10:56,1,0,0,0,H
739,03-Jun-17,10:10:56,1,0,0,0,H
740,03-Jun-17,10:10:56,1,0,0,0,H
741,03-Jun-17,10:10:56,1,0,0,0,H
742,03-Jun-17,10:10:57,1,0,0,0,H
743,03-Jun-17,10:10:57,1,0,0,0,H
744,03-Jun-17,10:10:57,1,0,0,0,H
745,03-Jun-17,10:10:57,1,0,0,0,H
746,03-Jun-17,10:10:57,1,0,0,0,H
747,03-Jun-17,10:10:57,1,0,0,0,H
748,03-Jun-17,10:10:57,1,0,0,0,H
749,03-Jun-17,10:10:58,1,0,0,0,H
750,03-Jun-17,10:10:58,1,0,0,0,H
751,03-Jun-17,10:10:58,1,0,0,0,H
752,03-Jun-17,10:10:58,1,0,0,0,H
753,03-Jun-17,10:10:59,1,0,0,0,H
754,03-Jun-17,10:10:59,1,0,0,0,H
755,03-Jun-17,10:10:59,1,0,0,0,H
756,03-Jun-17,10:10:59,1,0,0,0,H
757,03-Jun-17,10:11:00,1,0,0,0,H
758,03-Jun-17,10:11:00,1,0,0,0,H
759,03-Jun-17,10:11:00,1,0,0,0,H
760,03-Jun-17,10:11:00,1,0,0,0,H
761,03-Jun-17,10:11:00,1,0,0,0,H
762,03-Jun-17,10:11:00,1,0,0,0,H
763,03-Jun-17,10:11:00,1,0,0,0,H
764,03-Jun-17,10:11:01,1,0,0,0,H
765,03-Jun-17,10:11:01,1,0,0,0,H
766,03-Jun-17,10:11:01,1,0,0,0,H
767,03-Jun-17,10:11:01,1,0,0,0,H
768,03-Jun-17,10:11:02,1,0,0,0,H
769,03-Jun-17,10:11:02,1,0,0,0,H
770,03-Jun-17,10:11:02,1,0,0,0,H
771,03-Jun-17,10:11:02,1,0,0,0,H
772,03-Jun-17,10:11:03,1,0,0,0,H
773,03-Jun-17,10:11:03,1,0,0,0,H
774,03-Jun-17,10:11:03,1,0,0,0,H
775,03-Jun-17,10:11:03,1,0,0,0,H
776,03-Jun-17,10:11:03,1,0,0,0,H
777,03-Jun-17,10:11:03,1,0,0,0,H
778,03-Jun-17,10:11:03,1,0,0,0,H
779,03-Jun-17,10:11:04,1,0,0,0,H
780,03-Jun-17,10:11:04,1,0,0,0,H
781,03-Jun-17,10:11:04,1,0,0,0,H
782,03-Jun-17,10:11:04,1,0,0,0,H
783,03-Jun-17,10:11:05,1,0,0,0,H
784,03-Jun-17,10:11:05,1,0,0,0,H
785,03-Jun-17,10:11:05,1,0,0,0,H
786,03-Jun-17,10:11:05,1,0,0,0,H
787,03-Jun-17,10:11:05,1,0,0,0,H
788,03-Jun-17,10:11:06,1,0,0,0,H
789,03-Jun-17,10:11:06,1,0,0,0,H
790,03-Jun-17,10:11:06,1,0,0,0,H
791,03-Jun-17,10:11:06,1,0,0,0,H
792,03-Jun-17,10:11:06,1,0,0,0,H
793,03-Jun-17,10:11:06,1,0,0,0,H
794,03-Jun-17,10:11:07,1,0,0,0,H
795,03-Jun-17,10:11:07,1,0,0,0,H
796,03-Jun-17,10:11:07,1,0,0,0,H
797,03-Jun-17,10:11:07,1,0,0,0,H
798,03-Jun-17,10:11:07,1,0,0,0,H
799,03-Jun-17,10:11:08,1,0,0,0,H
800,03-Jun-17,10:11:08,1,0,0,0,H
801,03-Jun-17,10:11:08,1,0,0,0,H
802,03-Jun-17,10:11:08,1,0,0,0,H
803,03-Jun-17,10:11:09,1,0,0,0,H
