,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
4931,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4932,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4933,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4934,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4935,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4936,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5227,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5228,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5229,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5230,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5231,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5232,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5233,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5234,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5235,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5236,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5527,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5528,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5529,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5530,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5531,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5532,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5533,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5534,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5535,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5536,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5827,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5828,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5829,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5830,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5831,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5832,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5833,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5834,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5835,24-Jun-17,17:18:02,1,1,0,RedAmber,C
5836,24-Jun-17,17:18:02,1,1,0,RedAmber,C
6127,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6128,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6129,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6130,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6131,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6132,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6133,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6134,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6135,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6136,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6427,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6428,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6429,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6430,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6431,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6432,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6433,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6434,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6435,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6436,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6727,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6728,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6729,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6730,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6731,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6732,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6733,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6734,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6735,24-Jun-17,17:18:03,1,1,0,RedAmber,C
6736,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7027,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7028,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7029,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7030,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7031,24-Jun-17,17:18:03,1,1,0,RedAmber,C
