,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
374,03-Jun-17,10:09:43,1,1,0,1,G
375,03-Jun-17,10:09:43,1,1,0,1,G
376,03-Jun-17,10:09:43,1,1,0,1,G
377,03-Jun-17,10:09:43,1,1,0,1,G
378,03-Jun-17,10:09:43,1,1,0,1,G
379,03-Jun-17,10:09:44,1,1,0,1,G
380,03-Jun-17,10:09:44,1,1,0,1,G
381,03-Jun-17,10:09:44,1,1,0,1,G
382,03-Jun-17,10:09:44,1,1,0,1,G
383,03-Jun-17,10:09:45,1,1,0,1,G
384,03-Jun-17,10:09:45,1,1,0,1,G
385,03-Jun-17,10:09:45,1,1,0,1,G
386,03-Jun-17,10:09:45,1,1,0,1,G
387,03-Jun-17,10:09:45,1,1,0,1,G
388,03-Jun-17,10:09:46,1,1,0,1,G
389,03-Jun-17,10:09:46,1,1,0,1,G
390,03-Jun-17,10:09:46,1,1,0,1,G
391,03-Jun-17,10:09:46,1,1,0,1,G
392,03-Jun-17,10:09:46,1,1,0,1,G
393,03-Jun-17,10:09:47,1,1,0,1,G
394,03-Jun-17,10:09:47,1,1,0,1,G
395,03-Jun-17,10:09:47,1,1,0,1,G
396,03-Jun-17,10:09:47,1,1,0,1,G
397,03-Jun-17,10:09:48,1,1,0,1,G
398,03-Jun-17,10:09:48,1,1,0,1,G
399,03-Jun-17,10:09:48,1,1,0,1,G
400,03-Jun-17,10:09:48,1,1,0,1,G
401,03-Jun-17,10:09:48,1,1,0,1,G
