,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
12511,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12802,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12803,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12804,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12805,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12806,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12807,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12808,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12809,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12810,24-Jun-17,17:53:45,1,1,0,RedAmber,B
12811,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13102,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13103,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13104,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13105,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13106,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13107,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13108,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13109,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13110,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13111,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13402,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13403,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13404,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13405,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13406,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13407,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13408,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13409,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13410,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13411,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13702,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13703,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13704,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13705,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13706,24-Jun-17,17:53:45,1,1,0,RedAmber,B
13707,24-Jun-17,17:53:45,1,1,0,RedAmber,B
