,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
218,03-Jun-17,10:09:12,1,1,0,1,I
219,03-Jun-17,10:09:12,1,1,0,1,I
220,03-Jun-17,10:09:12,1,1,0,1,I
221,03-Jun-17,10:09:12,1,1,0,1,I
222,03-Jun-17,10:09:12,1,1,0,1,I
223,03-Jun-17,10:09:13,1,1,0,1,I
224,03-Jun-17,10:09:13,1,1,0,1,I
225,03-Jun-17,10:09:13,1,1,0,1,I
226,03-Jun-17,10:09:13,1,1,0,1,I
227,03-Jun-17,10:09:13,1,1,0,1,I
228,03-Jun-17,10:09:13,1,1,0,1,I
229,03-Jun-17,10:09:14,1,1,0,1,I
230,03-Jun-17,10:09:14,1,1,0,1,I
231,03-Jun-17,10:09:14,1,1,0,1,I
232,03-Jun-17,10:09:14,1,1,0,1,I
233,03-Jun-17,10:09:15,1,1,0,1,I
234,03-Jun-17,10:09:15,1,1,0,1,I
235,03-Jun-17,10:09:15,1,1,0,1,I
236,03-Jun-17,10:09:15,1,1,0,1,I
237,03-Jun-17,10:09:15,1,1,0,1,I
238,03-Jun-17,10:09:16,1,1,0,1,I
239,03-Jun-17,10:09:16,1,1,0,1,I
240,03-Jun-17,10:09:16,1,1,0,1,I
241,03-Jun-17,10:09:16,1,1,0,1,I
242,03-Jun-17,10:09:17,1,1,0,1,I
243,03-Jun-17,10:09:17,1,1,0,1,I
244,03-Jun-17,10:09:17,1,1,0,1,I
245,03-Jun-17,10:09:17,1,1,0,1,I
246,03-Jun-17,10:09:17,1,1,0,1,I
247,03-Jun-17,10:09:17,1,1,0,1,I
248,03-Jun-17,10:09:17,1,1,0,1,I
249,03-Jun-17,10:09:18,1,1,0,1,I
250,03-Jun-17,10:09:18,1,1,0,1,I
251,03-Jun-17,10:09:18,1,1,0,1,I
252,03-Jun-17,10:09:18,1,1,0,1,I
253,03-Jun-17,10:09:19,1,1,0,1,I
254,03-Jun-17,10:09:19,1,1,0,1,I
255,03-Jun-17,10:09:19,1,1,0,1,I
256,03-Jun-17,10:09:19,1,1,0,1,I
257,03-Jun-17,10:09:19,1,1,0,1,I
258,03-Jun-17,10:09:20,1,1,0,1,I
259,03-Jun-17,10:09:20,1,1,0,1,I
260,03-Jun-17,10:09:20,1,1,0,1,I
261,03-Jun-17,10:09:20,1,1,0,1,I
262,03-Jun-17,10:09:21,1,1,0,1,I
263,03-Jun-17,10:09:21,1,1,0,1,I
264,03-Jun-17,10:09:21,1,1,0,1,I
265,03-Jun-17,10:09:21,1,1,0,1,I
266,03-Jun-17,10:09:21,1,1,0,1,I
267,03-Jun-17,10:09:21,1,1,0,1,I
268,03-Jun-17,10:09:21,1,1,0,1,I
269,03-Jun-17,10:09:22,1,1,0,1,I
270,03-Jun-17,10:09:22,1,1,0,1,I
271,03-Jun-17,10:09:22,1,1,0,1,I
272,03-Jun-17,10:09:22,1,1,0,1,I
273,03-Jun-17,10:09:22,1,1,0,1,I
274,03-Jun-17,10:09:23,1,1,0,1,I
275,03-Jun-17,10:09:23,1,1,0,1,I
276,03-Jun-17,10:09:23,1,1,0,1,I
277,03-Jun-17,10:09:23,1,1,0,1,I
278,03-Jun-17,10:09:24,1,1,0,1,I
279,03-Jun-17,10:09:24,1,1,0,1,I
280,03-Jun-17,10:09:24,1,1,0,1,I
281,03-Jun-17,10:09:24,1,1,0,1,I
282,03-Jun-17,10:09:25,1,1,0,1,I
283,03-Jun-17,10:09:25,1,1,0,1,I
284,03-Jun-17,10:09:25,1,1,0,1,I
285,03-Jun-17,10:09:25,1,1,0,1,I
286,03-Jun-17,10:09:25,1,1,0,1,I
287,03-Jun-17,10:09:25,1,1,0,1,I
288,03-Jun-17,10:09:25,1,1,0,1,I
289,03-Jun-17,10:09:26,1,1,0,1,I
290,03-Jun-17,10:09:26,1,1,0,1,I
291,03-Jun-17,10:09:26,1,1,0,1,I
292,03-Jun-17,10:09:26,1,1,0,1,I
293,03-Jun-17,10:09:27,1,1,0,1,I
294,03-Jun-17,10:09:27,1,1,0,1,I
295,03-Jun-17,10:09:27,1,1,0,1,I
296,03-Jun-17,10:09:27,1,1,0,1,I
297,03-Jun-17,10:09:28,1,1,0,1,I
298,03-Jun-17,10:09:28,1,1,0,1,I
299,03-Jun-17,10:09:28,1,1,0,1,I
300,03-Jun-17,10:09:28,1,1,0,1,I
301,03-Jun-17,10:09:28,1,1,0,1,I
302,03-Jun-17,10:09:28,1,1,0,1,I
303,03-Jun-17,10:09:28,1,1,0,1,I
304,03-Jun-17,10:09:29,1,1,0,1,I
305,03-Jun-17,10:09:29,1,1,0,1,I
306,03-Jun-17,10:09:29,1,1,0,1,I
307,03-Jun-17,10:09:29,1,1,0,1,I
308,03-Jun-17,10:09:30,1,1,0,1,I
309,03-Jun-17,10:09:30,1,1,0,1,I
310,03-Jun-17,10:09:30,1,1,0,1,I
311,03-Jun-17,10:09:30,1,1,0,1,I
312,03-Jun-17,10:09:30,1,1,0,1,I
313,03-Jun-17,10:09:31,1,1,0,1,I
314,03-Jun-17,10:09:31,1,1,0,1,I
315,03-Jun-17,10:09:31,1,1,0,1,I
316,03-Jun-17,10:09:31,1,1,0,1,I
317,03-Jun-17,10:09:31,1,1,0,1,I
318,03-Jun-17,10:09:31,1,1,0,1,I
319,03-Jun-17,10:09:32,1,1,0,1,I
320,03-Jun-17,10:09:32,1,1,0,1,I
321,03-Jun-17,10:09:32,1,1,0,1,I
322,03-Jun-17,10:09:32,1,1,0,1,I
323,03-Jun-17,10:09:32,1,1,0,1,I
324,03-Jun-17,10:09:33,1,1,0,1,I
325,03-Jun-17,10:09:33,1,1,0,1,I
326,03-Jun-17,10:09:33,1,1,0,1,I
327,03-Jun-17,10:09:33,1,1,0,1,I
328,03-Jun-17,10:09:34,1,1,0,1,I
329,03-Jun-17,10:09:34,1,1,0,1,I
330,03-Jun-17,10:09:34,1,1,0,1,I
331,03-Jun-17,10:09:34,1,1,0,1,I
332,03-Jun-17,10:09:34,1,1,0,1,I
333,03-Jun-17,10:09:34,1,1,0,1,I
334,03-Jun-17,10:09:35,1,1,0,1,I
335,03-Jun-17,10:09:35,1,1,0,1,I
336,03-Jun-17,10:09:35,1,1,0,1,I
337,03-Jun-17,10:09:35,1,1,0,1,I
338,03-Jun-17,10:09:36,1,1,0,1,I
339,03-Jun-17,10:09:36,1,1,0,1,I
340,03-Jun-17,10:09:36,1,1,0,1,I
341,03-Jun-17,10:09:36,1,1,0,1,I
342,03-Jun-17,10:09:36,1,1,0,1,I
343,03-Jun-17,10:09:37,1,1,0,1,I
344,03-Jun-17,10:09:37,1,1,0,1,I
345,03-Jun-17,10:09:37,1,1,0,1,I
346,03-Jun-17,10:09:37,1,1,0,1,I
347,03-Jun-17,10:09:37,1,1,0,1,I
348,03-Jun-17,10:09:37,1,1,0,1,I
349,03-Jun-17,10:09:38,1,1,0,1,I
350,03-Jun-17,10:09:38,1,1,0,1,I
351,03-Jun-17,10:09:38,1,1,0,1,I
352,03-Jun-17,10:09:38,1,1,0,1,I
353,03-Jun-17,10:09:39,1,1,0,1,I
354,03-Jun-17,10:09:39,1,1,0,1,I
355,03-Jun-17,10:09:39,1,1,0,1,I
356,03-Jun-17,10:09:39,1,1,0,1,I
357,03-Jun-17,10:09:39,1,1,0,1,I
358,03-Jun-17,10:09:40,1,1,0,1,I
359,03-Jun-17,10:09:40,1,1,0,1,I
360,03-Jun-17,10:09:40,1,1,0,1,I
361,03-Jun-17,10:09:40,1,1,0,1,I
362,03-Jun-17,10:09:40,1,1,0,1,I
363,03-Jun-17,10:09:40,1,1,0,1,I
364,03-Jun-17,10:09:41,1,1,0,1,I
365,03-Jun-17,10:09:41,1,1,0,1,I
366,03-Jun-17,10:09:41,1,1,0,1,I
367,03-Jun-17,10:09:41,1,1,0,1,I
368,03-Jun-17,10:09:42,1,1,0,1,I
369,03-Jun-17,10:09:42,1,1,0,1,I
370,03-Jun-17,10:09:42,1,1,0,1,I
371,03-Jun-17,10:09:42,1,1,0,1,I
372,03-Jun-17,10:09:43,1,1,0,1,I
373,03-Jun-17,10:09:43,1,1,0,1,I
374,03-Jun-17,10:09:43,1,1,0,1,I
375,03-Jun-17,10:09:43,1,1,0,1,I
376,03-Jun-17,10:09:43,1,1,0,1,I
377,03-Jun-17,10:09:43,1,1,0,1,I
378,03-Jun-17,10:09:43,1,1,0,1,I
379,03-Jun-17,10:09:44,1,1,0,1,I
380,03-Jun-17,10:09:44,1,1,0,1,I
381,03-Jun-17,10:09:44,1,1,0,1,I
382,03-Jun-17,10:09:44,1,1,0,1,I
383,03-Jun-17,10:09:45,1,1,0,1,I
384,03-Jun-17,10:09:45,1,1,0,1,I
385,03-Jun-17,10:09:45,1,1,0,1,I
386,03-Jun-17,10:09:45,1,1,0,1,I
387,03-Jun-17,10:09:45,1,1,0,1,I
388,03-Jun-17,10:09:46,1,1,0,1,I
389,03-Jun-17,10:09:46,1,1,0,1,I
390,03-Jun-17,10:09:46,1,1,0,1,I
391,03-Jun-17,10:09:46,1,1,0,1,I
392,03-Jun-17,10:09:46,1,1,0,1,I
393,03-Jun-17,10:09:47,1,1,0,1,I
394,03-Jun-17,10:09:47,1,1,0,1,I
395,03-Jun-17,10:09:47,1,1,0,1,I
396,03-Jun-17,10:09:47,1,1,0,1,I
397,03-Jun-17,10:09:48,1,1,0,1,I
398,03-Jun-17,10:09:48,1,1,0,1,I
399,03-Jun-17,10:09:48,1,1,0,1,I
400,03-Jun-17,10:09:48,1,1,0,1,I
401,03-Jun-17,10:09:48,1,1,0,1,I
